taxon_no,taxon_rank,taxon_name,parent_no
325038,kingdom,Animalia,212579
67103,unranked clade,Bilateria,67091
272902,unranked clade,Eubilateria,67103
85324,unranked clade,Protostomia,272902
67124,unranked clade,Ecdysozoa,85324
273390,unranked clade,Cycloneuralia,67124
273391,unranked clade,Nematoidea,273390
67132,phylum,Nematomorpha,273391
319037,superfamily,Gordioidea,67132
319038,family,Chordodidae,319037
67133,phylum,Gordiacea,273391
7273,class,Palaeoscolecida,67132
304665,order,Cricocosmida,7273
304667,family,Tylotitidae,304665
304670,family,Cricocosmiidae,304665
85340,family,Palaeoscolecidae,304665
91612,family,Maotianshaniidae,304665
6998,phylum,Nematoda,273391
67131,phylum,Nemata,273391
319062,order,Oxyurida,6998
319061,family,Heteroxynematidae,319062
318847,class,Enoplea,6998
318856,subclass,Dorylaimia,318847
318893,order,Plectida,318856
318894,family,Captivonemidae,318893
318895,family,Plectidae,318893
318889,order,Desmoscolecida,318856
318890,superfamily,Desmoscolecoidea,318889
318891,family,Eophasmidae,318890
318883,order,Chromadorida,318856
318884,suborder,Chromadorina,318883
318885,superfamily,Chromadoroidea,318884
318886,family,Nemavermidae,318885
318824,order,Rhabditida,318856
318922,suborder,Tylenchina,318824
318923,infraorder,Panagrolaimomorpha,318819
318924,superfamily,Panagrolaimoidea,318923
318925,family,Panagrolaimidae,318924
318928,infraorder,Tylenchomorpha,318819
318820,superfamily,Aphelenchoidea,318928
318954,family,Acugutturidae,318820
318821,family,Aphelenchoididae,318820
318957,superfamily,Sphaerularioidea,318928
318973,family,Sphaerulariidae,318957
318961,family,Iotonchidae,318957
318838,family,Allantonematidae,318957
318958,family,Anguinidae,318957
318976,suborder,Rhabditina,318824
319002,infraorder,Rhabditomorpha,318976
319003,superfamily,Rhabditoidea,319002
319004,family,Rhabditidae,319003
319023,superfamily,Heterorhabditoidea,319002
319024,family,Heterorhabditidae,319023
318977,infraorder,Diplogastromorpha,318976
318978,superfamily,Diplogastroidea,318977
318989,family,Diplogastridae,318825
318899,suborder,Spirurina,318824
318905,infraorder,Spiruromorpha,318899
318918,superfamily,Cosmocercoidea,318905
318919,family,Cosmocercidae,318918
318906,superfamily,Filarioidea,318905
318907,family,Filariidae,318906
318912,infraorder,Ascaridomorpha,318899
318913,superfamily,Ascaridoidea,318912
318914,family,Ascarididae,318913
318900,infraorder,Oxyuridomorpha,318899
318901,superfamily,Thelastomatoidea,318900
318902,family,Thelastomatidae,318901
227175,order,Mermithida,318856
318857,superfamily,Mermithoidea,227175
227072,family,Mermithidae,318857
318877,family,Tetradonematidae,318857
318848,subclass,Enoplia,318847
318849,order,Enoplida,318848
318853,family,Palaeoenoploididae,318849
318850,family,Palaeonematidae,318849
67134,unranked clade,Panarthropoda,67124
67135,phylum,Onychophora,67134
303379,family,Luolishaniidae,67135
226742,order,Euonychophora,67135
226752,family,Peripatidae,226742
226744,order,Ontonychophora,67135
226745,superfamily,Tertiapatoidea,226742
226747,family,Tertiapatidae,226745
226746,family,Succinipatopsidae,226745
226743,class,Udeonychophora,67135
18891,phylum,Arthropoda,67134
19041,class,Marrelomorpha,18891
19046,order,Acercostraca,19041
19042,order,Mimetasterida,19041
237482,class,Arachnoidea,18891
145137,unranked clade,Parvancorinomorpha,18891
145136,family,Parvancorinidae,145137
167460,phylum,Schizoramia,67134
167459,superclass,Proschizoramia,18891
167458,class,Megacheira,167459
167485,order,Fortiforcipida,167458
167484,family,Fortiforcipidae,167485
271154,family,Kootenichelidae,167458
167462,order,Yohoiida,167458
167461,family,Yohoiidae,167462
67138,phylum,Euarthropoda,67134
120986,class,Dinocarida,18891
7369,order,Radiodonta,18891
290858,family,Amplectobeluidae,7369
290855,family,Cetiocaridae,7369
120985,family,Anomalocarididae,7369
290857,family,Hurdiidae,7369
121042,subphylum,Arachnomorpha,18891
328312,order,Aptera,18891
92005,order,Bradoriida,18891
148963,class,Bradoriid,18891
90404,family,Hipponicharionidae,90405
162684,family,Comptalutidae,90405
142104,order,Archaeocopida,18891
90410,family,Indianidae,90405
90409,family,Svealutidae,90405
134236,family,Bradoriidae,90405
142247,family,Beyrichonidae,90405
149904,family,Guangweicarididae,18891
19026,class,Merostomoidea,18891
19034,order,Cheloniellida,19026
19027,order,Emeraldellida,19026
19031,order,Limulavida,19026
83659,subphylum,Mandibulata,18891
19100,class,Trilobita,83659
155835,family,Sarkiidae,19100
19472,order,Corynexochida,19100
84723,family,Tsinaniidae,19472
133756,family,Cheilocephalidae,19472
155057,family,Jakutidae,19472
239888,family,Shirakiellidae,19472
87641,family,Leiostegiidae,19472
154939,family,Edelsteinaspididae,19472
133818,family,Panderiidae,19472
155134,family,Chengkouiidae,19472
56893,family,Styginidae,19472
95230,family,Oryctocephalidae,19472
56946,suborder,Illaenina,19472
154954,family,Illaenuridae,19472
155006,family,Pagodiidae,19472
95208,family,Zacanthoididae,19472
95207,family,Dorypygidae,19472
155469,family,Kaolishaniidae,19472
124262,family,Illaenidae,19472
154832,family,Corynexochidae,19472
155139,family,Dinesidae,19472
95206,family,Dolichometopidae,19472
134210,superfamily,Corynexochidacea,19472
198634,superfamily,Corynexochoidea,19472
154956,family,Amgaspididae,19472
19772,order,Odontopleurida,19100
82608,superfamily,Remopleuridacea,19100
19165,order,Agnostida,19100
154067,family,Tsunyidiscidae,19165
133736,family,Metagnostidae,19165
95216,family,Clavagnostidae,19165
82583,family,Agnostidae,19165
85483,family,Peronopsidae,19165
95215,family,Ammagnostidae,19165
90399,family,Eodiscidae,19165
85387,superfamily,Agnostoidea,19165
198632,family,Hypagnostoidae,85387
85439,family,Pseudagnostidae,85387
154069,family,Hebediscidae,19165
90401,suborder,Eodiscina,19165
296116,family,Pagetiidae,90401
153952,family,Spinagnostidae,19165
85401,family,Ptychagnostidae,19165
154079,family,Weymouthiidae,19165
154066,family,Condylopygidae,19165
