"","Specimen","D","UD","WD","Strat"
"1",1,61,0.45,0.23,8.1
"2",2,20,0.33,0.26,8.9
"3",3,35,0.39,0.23,3.7
"4",4,39.5,0.34,0.23,8.5
"5",5,28,0.29,0.29,3.1
"6",6,11.5,0.41,0.35,8.7
"7",7,33,0.42,0.22,7.2
"8",8,68.5,0.48,0.22,10.3
"9",9,56,0.39,0.23,9.1
"10",10,50,0.35,0.23,8.1
"11",11,73.5,0.47,0.26,9.6
"12",12,20.9,0.41,0.29,4.9
"13",13,43.5,0.4,0.2,3.4
"14",14,16,0.26,0.32,3.2
"15",15,35.5,0.39,0.23,4.7
"16",16,45.5,0.28,0.23,1.3
"17",17,31,0.32,0.23,8.3
"18",18,11.8,0.38,0.34,4
"19",19,63.5,0.29,0.23,4.7
"20",20,44.5,0.38,0.23,10.7
"21",21,40.5,0.41,0.22,9.5
"22",22,48,0.35,0.23,4.2
"23",23,23,0.33,0.28,3
"24",24,20,0.4,0.28,5.1
"25",25,59.5,0.34,0.21,6.8
