,Extant
1,Chlamys
2,Tridacna
3,Adipicola
4,Parvamussium
5,Abra
6,Lyrodus
7,Venus
8,Modiolus
9,Neilo
10,Ruditapes
11,Thracia
12,Saccella
13,Nemocardium
14,Myadora
15,Dosinia
16,Divaricella
17,Periploma
18,Mysella
19,Mulinia
20,Parvilucina
21,Rangia
22,Cyclopecten
23,Astarte
24,Clinocardium
25,Saxidomus
26,Acila
27,Compsomyax
28,Conchocele
29,Nuculana
30,Delectopecten
31,Nutricola
32,Lyonsia
33,Lucina
34,Pododesmus
35,Simomactra
36,Tellina
37,Septifer
38,Placopecten
39,Cuspidaria
40,Ensis
41,Malleus
42,Cerastoderma
43,Spisula
44,Venericardia
45,Musculus
46,Aequipecten
47,Crenella
48,Crassostrea
49,Thyasira
50,Lithophaga
51,Lucinoma
52,Nucula
53,Plicatula
54,Limopsis
55,Pallium
56,Macomona
57,Tawera
58,Condylocardia
59,Zygochlamys
60,Talochlamys
61,Arctica
62,Yoldia
63,Mercenaria
64,Chamelea
65,Semelina
66,Pseudomalletia
67,Cyclocardia
68,Anomia
69,Macoma
70,Pitar
71,Linga
72,Anadara
73,Amygdalum
74,Diplodonta
75,Amusium
76,Pecten
77,Spondylus
78,Verticordia
79,Chione
80,Cyclas
81,Montacuta
82,Anomalocardia
83,Bathyarca
84,Mytilus
85,Asthenothaerus
86,Arca
87,Mya
88,Gemma
89,Corbula
90,Mactrotoma
91,Aligena
92,Hiatella
93,Musculista
94,Ennucula
95,Axinopsida
96,Rochefortia
97,Adontorhina
98,Tagelus
99,Laevicardium
100,Venerupis
101,Theora
102,Pandora
103,Semele
104,Limatula
105,Argopecten
106,Solemya
107,Geukensia
108,Mytilopsis
109,Serripes
110,Crassinella
111,Petricola
112,Cryptomya
113,Ischadium
114,Axinodon
115,Solen
116,Potamocorbula
117,Solamen
118,Strigilla
119,Cooperella
120,Brachidontes
121,Anodontia
122,Saxicavella
123,Sphenia
124,Cyrenoida
125,Liocyma
126,Eumarcia
127,Loripes
128,Yoldiella
129,Nuculoidea
130,Dacrydium
131,Gafrarium
132,Martesia
133,Bankia
134,Siliqua
135,Propeleda
136,Lima
137,Teredo
138,Isognomon
139,Adacnarca
140,Crassadoma
141,Psiloteredo
142,Paphies
143,Kelliella
144,Entodesma
145,Eurhomalea
146,Iphigenia
147,Mactra
148,Laternula
149,Ostreola
150,Philobrya
151,Adrana
152,Bushia
153,Aulacomya
154,Pholas
155,Donax
156,Raeta
157,Perna
158,Cardita
159,Barbatia
160,Arcuatula
161,Sanguinolaria
162,Thecalia
163,Psammotellina
164,Cardium
165,Tivela
166,Meretrix
167,Vulsella
168,Kellia
169,Acrosterigma
170,Corculum
171,Scissodesma
172,Ostrea
173,Malletia
174,Neilonella
175,Pristigloma
176,Axinulus
177,Lyonsiella
178,Tindaria
179,Ledella
180,Myonera
181,Rhinoclama
182,Halonympha
183,Protocuspidaria
184,Luzonia
185,Spinula
186,Silicula
187,Bentharca
188,Pseudotindaria
189,Policordia
190,Nuculoma
191,Portlandia
192,Microgloma
193,Tropidomya
194,Bathypecten
195,Orthoyoldia
196,Callocardia
197,Petricolaria
198,Barnea
199,Cyrtopleura
200,Cumingia
201,Noetia
202,Teredora
203,Cyrtodaria
204,Brachyodontes
205,Gloripallium
206,Lasaea
207,Bathymodiolus
208,Scalpomactra
209,Neocardia
210,Afrocardium
211,Phaxas
212,Digitaria
213,Glycymeris
214,Dendrostrea
215,Electroma
216,Limaria
217,Hyotissa
218,Crassatina
219,Sarepta
220,Pinctada
221,Eucrassatella
222,Limarca
223,Laevichlamys
224,Chama
225,Eastonia
226,Streptopinna
227,Carditella
228,Lutraria
229,Striarca
230,Deltaodon
231,Pinna
232,Indocrassatella
233,Pteromeris
234,Fulvia
235,Arcopsis
236,Fragum
237,Volachlamys
238,Pteria
239,Samacar
240,Meiocardia
241,Pseudopythina
242,Codakia
243,Jupiteria
244,Gari
245,Tucetona
246,Lyrocardium
247,Lyropecten
248,Atrina
249,Divarilima
250,Parahyotissa
251,Fukama
252,Saccostrea
253,Curvemysella
254,Vasticardium
255,Acar
256,Propeamussium
257,Decatopecten
258,Crassatella
259,Scissileda
260,Similipecten
261,Beguina
262,Gregariella
263,Mimachlamys
264,Glans
265,Cryptopecten
266,Pedum
267,Tellimya
268,Limea
269,Ctenoides
270,Lopha
271,Arcinella
272,Timoclea
273,Placamen
274,Galeomma
275,Scapharca
276,Cyclochlamys
277,Xenostrobus
278,Alveinus
279,Moerella
280,Leptomya
281,Cycladicama
282,Fronsella
283,Nitidotellina
284,Semelangulus
285,Nipponomysella
286,Abrina
287,Turtonia
288,Merisca
289,Montacutona
290,Globivenus
291,Aphyocypris
292,Halicardia
293,Purpurocardia
294,Benthomodiolus
295,Euciroa
296,Mesodesma
297,Gigantidas
298,Panomya
299,Periglypta
300,Trachycardium
301,Azorinus
302,Bractechlamys
303,Antigona
304,Circe
305,Callista
306,Lioconcha
307,Vepricardium
308,Dicyathifer
309,Solecardia
310,Paphia
311,Nausitora
312,Rochefortina
313,Cardites
314,Tapes
315,Coralliophaga
316,Glossocardia
317,Sunetta
318,Placenta
319,Teredothyra
320,Scintilla
321,Acanthocardia
322,Trapezicardium
323,Cardiolucina
324,Marcia
325,Palliolum
326,Gastrochaena
327,Scissulina
328,Bactronophorus
329,Atactodea
330,Parviperna
331,Modiolaria
332,Asaphis
333,Ervilia
334,Irus
335,Hippopus
336,Trisidos
337,Hemidonax
338,Neotrigonia
339,Ctena
340,Excellichlamys
341,Mesopeplum
342,Poromya
343,Adamussium
344,Genaxinus
345,Fimbria
346,Placuna
347,Trapezium
348,Minnivola
349,Cucullaea
350,Lirophora
351,Ensitellops
352,Scissula
353,Phacoides
354,Psammotella
355,Cyclinella
356,Radiolucina
357,Eurytellina
358,Papyridea
359,Cardiomya
360,Juliacorbula
361,Lucinisca
362,Laciolina
363,Cryptostrea
364,Acorylus
365,Tellinella
366,Caribachlamys
367,Angulus
368,Basterotia
369,Circomphalus
370,Dinocardium
371,Trigonulina
372,Transennella
373,Caryocorbula
374,Spathochlamys
375,Anatina
376,Dendostrea
377,Cucullaearca
378,Solecurtus
379,Trigoniocardia
380,Euvola
381,Varicorbula
382,Cratis
383,Lamychaena
384,Microcardium
385,Americardia
386,Cymatoica
387,Stewartia
388,Pleuromeris
389,Carditopsis
390,Callucina
391,Lioberus
392,Carditamera
393,Phyllodina
394,Macrocallista
395,Nototeredo
396,Pleurolucina
397,Uperotus
398,Cetoconcha
399,Brevinucula
400,Deminucula
401,Calyptogena
402,Nodipecten
403,Myrtea
404,Puberella
405,Tellidora
406,Parastarte
407,Paramya
408,Panopea
409,Orobitella
410,Elliptotellina
411,Cyathodonta
412,Lunarca
413,Mendicula
414,Vesicomya
415,Nucinella
416,Parabornia
417,Botula
418,Jouannetia
419,Cuna
420,Polymesoda
421,Leporimetis
422,Pitarenus
423,Agriopoma
424,Gouldia
425,Saturnia
426,Acesta
427,Leptopecten
428,Myoforceps
429,Xylophaga
430,Ventricolaria
431,Arcopagia
432,Pythinella
433,Scintillona
434,Corbicula
435,Bassina
436,Standella
437,Lindapecten
438,Zirfaea
439,Laptocylindus
440,Nuttallia
441,Loxoglypta
442,Clavagella
443,Mirapecten
444,Isocardia
445,Aloidis
446,Cultellus
447,Mabellarca
448,Brachydontes
449,Austrovenus
450,Notocallista
451,Soletellina
452,Gonimyrtea
453,Serratina
454,Semimytilus
455,Lamya
456,Divalinga
457,Notolimea
458,Parvicardium
459,Neotrapezium
460,Chaceia
461,Humilaria
462,Protothaca
463,Tresus
464,Dallicordia
465,Dermatomya
466,Netastoma
467,Mactromeris
468,Patinopecten
469,Psammobia
470,Annachlamys
471,Leda
472,Lissarca
473,Neaera
474,Cyamiomactra
475,Pascachlamys
476,Serratovola
477,Divariscintilla
478,Megayoldia
479,Cosa
480,Cyamiocardium
481,Glomus
482,Similamusium
483,Pholadomya
484,Decatopallium
485,Flexopecten
486,Pseudamussium
487,Cryptodon
488,Geloina
489,Glossus
490,Gaimardia
491,Samarangia
492,Pseudokellya
493,Epicodakia
494,Catillopecten
495,Cyamium
496,Pseudochama
497,Anisocorbula
498,Discors
499,Anguipecten
500,Crassatellites
501,Apolymetis
502,Tamu
503,Neolepton
504,Davila
505,Ctenocardia
506,Hyalopecten
507,Planktomya
508,Volsella
509,Hemipecten
510,Lissochlamys
511,Macrodon
512,Monia
513,Pinguitellina
514,Rocellaria
515,Joannisiella
516,Modiola
517,Clementia
518,Arcopaginula
519,Zenatia
520,Cyclomactra
521,Longimactra
522,Poroleda
523,Maorithyas
524,Tahunanuia
525,Diplothyra
526,Marikellia
527,Huxleyia
528,Veprichlamys
529,Lincula
530,Arthritica
531,Neaeromya
532,Pycnodonte
533,Arctinula
534,Katadesmia
535,Asperarca
536,Pycnodonta
537,Cetomya
538,Microyoldia
539,Lepton
540,Amussium
541,Iacra
542,Pisidium
543,Kidderia
544,Choromytilus
545,Idas
546,Dulcina
547,Monitilora
548,Heteranomia
549,Neopycnodonte
550,Lucinella
551,Polititapes
552,Syndesmya
553,Corbulomya
554,Mytilaster
555,Scrobicularia
556,Plagiocardium
557,Gastrana
558,Fabulina
559,Tridonta
560,Pharus
561,Epilepton
562,Idasola
563,Isorropodon
564,Cochlodesma
565,Clausinella
566,Modiolarca
567,Goodallia
568,Rhomboidella
569,Modiolula
570,Transenpitar
571,Dallocardia
572,Warrana
573,Bathyneaera
574,Prelametila
575,Lamellileda
576,Lamellinucula
577,Acharax
578,Mytella
579,Tellinidae
580,Xyloredo
581,Lunulicardia
582,Melaxinaea
583,Jolya
584,Granicorum
585,Myochama
586,Vimentum
587,Panacca
588,Dimya
589,Ciliatocardium
590,Dreissena
591,Saxicava
592,Altenaeum
593,Potidoma
594,Phaseolus
595,Zozia
596,Devonia
597,Mysia
598,Semierycina
599,Kurtiella
600,Vasconiella
601,Camptonectes
602,Katelysia
603,Amphilepida
604,Scacchia
605,Bathyspinula
606,Brachyodontus
607,Scutarcopagia
608,Dianadema
609,Tanysiphon
610,Villorita
611,Varotoga
612,Felania
613,Exotica
614,Aclistothyra
